,AHR,AHRR,AR,ARID1A,ARID2,ARNT,BAP1,BRCA1,BRD2,BRD4,BRD9,CDK9,CDKN1B,CEBPA,CEBPB,CHD8,CREB1,CREBBP,CTBP1,CTBP2,CTCF,CTCFL,CTNNB1,DNMT3A,E2F1,E2F4,EGR1,ELF1,EN1,EP300,ERG,ESR1,ESRRA,EZH2,FOS,FOSL1,FOSL2,FOXA1,FOXM1,GABPA,GATA3,GREB1,GRHL1,GRHL2,GTF3C2,HDAC1,HDAC2,HIF1A,HSF1,JUN,JUNB,JUND,KDM1A,KDM4A,KDM5A,KDM5B,KDM5C,KDM6A,KMT2B,KMT2C,LIN9,LMTK3,MAX,MED1,MED12,MEN1,MYC,NCAPG,NCAPG2,NCOA1,NCOA3,NELFE,NIPBL,NOTCH1,NR2F2,NR3C1,NRF1,PBX1,PCGF2,PGR,PML,PRKCQ,RAD21,RB1,RBPJ,RELA,REST,RNF2,RORC,RUNX1,RUNX2,RXRA,SATB1,SFPQ,SIN3A,SMAD1,SMAD3,SMARCA4,SMARCB1,SMARCC1,SMC1A,SREBF2,SRF,STAG1,STAG2,STAT3,SUMO2,SUZ12,TAF1,TCEA2,TCF12,TCF7,TCF7L2,TEAD1,TEAD4,TET2,TFAP2A,TFAP2C,TLE3,TOP2A,TP53,TP63,TRIM25,TRPS1,WWTR1,XBP1,YAP1,ZBTB17,ZFX,ZMYND8,ZNF143,ZNF217,ZNF516,ZNF711
AHR,1,0.209554341730945,-0.314584561286567,0.856133545495968,0.506535366424469,0.631251992841441,0.00163959279775067,0.375744575970672,0.667420414991712,0.726759232581999,0.699831731204156,0.415463785224967,0.636338177206323,0.75262261974216,0.508479448117282,-0.438854144672572,0.374454120327796,0.275401021974405,0.00468229721157787,0.287692033434868,0.649336203916576,0.628224528602548,0.194537536888738,0.437629431769117,0.60921186059362,0.381288924686055,0.520373597763314,0.674201994144887,0.524311982413276,0.849915342128219,0.612729868929612,0.814867286782725,0.801300297616728,-0.258188458101004,0.472866101556538,0.537482341166326,0.67006235970828,0.900819764180176,0.465987592587943,0.615428308150698,0.868741194590415,0.455832007266783,0.632938135187882,0.794009892517659,-0.258188458101004,0.292868900114443,0.768977430108592,0.636338177206323,0.54761251661894,0.680418441701965,0.310540346855939,0.548253456553794,-0.258188458101004,-0.326161024563082,0.449564779908275,0.607122765178388,-0.216666312232818,0.576085009764989,0.0655446448053308,0.829420118052457,0.377444777671896,-0.258188458101004,0.674767125740985,0.330324127915659,-0.258188458101004,0.492305040999648,0.673636862548789,0.361904522555167,0.499198460476889,0.440604394920338,0.330398210459329,0.65449925591438,-0.258188458101004,0.40612424189279,0.795140155709855,0.744688345136444,0.604125676228738,0.44062613546996,-0.0407299075321383,0.861503812040842,0.477989554370137,-0.154323404077799,0.598474360267758,-0.123483980002209,0.634077650821931,0.643577066386677,0.749653533121384,0.204158606452313,-0.0582414498821518,-0.258188458101004,0.727324364178097,-0.258188458101004,0.0776807514788204,0.670718026894002,0.78829859966598,-0.278595875147632,0.6148631765546,0.765242071781014,0.709137445187253,0.524914705689489,0.689937928212498,0.0195135746606335,0.681188146067639,0.608702755097045,0.480780178570037,0.680983573298063,-0.258188458101004,-0.0278624854741428,0.50594430978626,-0.100226564839697,0.558079751844992,0.24847767613399,0.636800553979008,0.711174002995865,0.674696708436025,0.416150984484627,0.767641068102979,0.725628969389803,0.372986853424665,-0.258188458101004,0.639728966782911,0.537309300095026,0.514834884045258,0.654300398714818,0.538484442351193,0.418653123534828,0.821247645231748,0.404701168476373,0.686634889259043,0.657200188612335,0.601865149844346,0.78169560597119,-0.258188458101004,0.485465450077045
AHRR,0.209554341730945,1,-0.101813871065838,0.116846791625894,0.40518267268806,0.197422149899321,0.796728770541695,0.236345170291636,0.251388758349309,0.374350651020166,0.313845899583218,0.357933185140669,0.17282977136515,0.203462363990191,-0.237793470677259,0.39035287911619,0.541550358580529,-0.145643816250884,0.616056451630877,0.867154520497981,0.312186583058788,0.306221133682207,0.72089874002874,0.395031826210911,0.157117973968318,0.160578924164241,0.374196129926407,0.217232677051848,0.516542589481591,0.00819977485093995,0.278345016004153,0.225835465686304,0.108647016774954,0.31209389196618,-0.267859311797372,0.0731766995391753,-0.0116294958112412,-0.0286911082898667,0.277527487622714,0.188541568761981,0.105319735785355,0.48098913554599,0.515995551061491,0.32789838045562,0.31209389196618,0.704443282600111,0.195111371554607,0.197422149899321,0.693368450338446,0.188541568761981,0.0503553143790441,0.323597603860422,0.31209389196618,0.135526185435788,0.421138277334415,0.333457510604891,0.604507782681718,0.373356863214324,0.45201314818716,0.143617821525484,0.291149847460711,0.31209389196618,0.181710352502489,0.853327864137031,0.31209389196618,0.420104448867175,0.233627596074629,0.6832773184881,0.206927480599038,0.408994248566556,0.710737318167653,0.25106029192503,0.31209389196618,0.456762502677185,0.307404731677143,0.060970203350596,0.187175325510083,0.422852459813198,0.701452355723035,0.0990806127821911,0.474547257003413,0.561919530911605,0.426951016218255,0.625347923400184,0.259586217860699,0.326357498136418,0.281674867385171,0.897464257204182,0.196850211683362,0.31209389196618,0.193323420143626,0.31209389196618,0.133489124135426,0.203627742131675,0.152379149313301,0.394257993995019,0.170097284861353,0.480156193019942,0.446812965373358,0.63034058011142,0.270934227366474,0.609861249017953,0.24073082465224,0.320147532198756,0.567834408427592,0.240458812334121,0.31209389196618,0.754425429152495,0.46579816447594,0.498982773649946,0.30900244586098,0.473287708339286,0.196111281851647,0.117629834773254,0.429531657312626,0.372466807947275,0.181540493122561,0.293742299158159,-0.145504906327181,0.31209389196618,0.0116130676411365,0.106597073062219,0.381864988905607,0.554815627512187,0.435119847890121,0.472045829871295,0.268466703306973,0.50169498232485,0.194689663395524,0.219562998411724,0.25890309623475,0.377269262950566,0.31209389196618,0.653404969841834
AR,-0.314584561286567,-0.101813871065838,1,-0.279378531073446,-0.0695302406255238,0.163230732292764,0.189429814143596,0.34976041113055,0.166619605627562,0.0943236411518741,0.00594903236942879,0.237436004536002,0.205591648977737,0.0756162184387504,0.0779661016949152,0.405143976483076,0.177425100756584,-0.051608509537271,0.111591680034493,-0.0438081350282841,0.132730872279583,0.0982727632893123,0.221439676057418,0.17892904648048,0.221971203429261,0.344632768361582,0.187782925579294,0.151369675620972,0.0656828043792887,-0.201129943502825,0.14871365258783,-0.129943502824859,-0.0553672316384181,0.154825528611813,0.185310734463277,0.216567790650718,0.108880160162693,-0.256424748999706,0.118697360132889,0.206156461200204,-0.325699862701863,-0.092619954717956,0.076204271779826,0.00734255889206205,0.154825528611813,0.0747327806021417,-0.0602110442124789,0.200508338975541,-0.0621293444712943,0.195425028973344,0.0898922585993752,0.0698834915231149,0.154825528611813,0.295416385022235,0.211306683462662,0.245762711864407,0.134290770411274,0.161711088870886,-0.112538703390216,-0.0130053764620536,0.310111457642066,0.154825528611813,0.155323361178236,-0.0175027168000353,0.154825528611813,0.0901379362417468,0.144027116728909,0.0559773807870721,-0.0528196823836988,0.0355958729107535,0.0910436179445719,0.093891462789647,0.154825528611813,0.124649329777964,-0.0248517377885177,-0.0886437317278235,0.214628644537198,0.111021841317989,0.114986472164654,-0.159322033898305,0.154224382088814,0.209117780531178,0.158712234513034,0.0496535246489027,0.167184417850028,-0.140622699268962,-0.108493485326259,0.0462582477962623,0.145521339519545,0.154825528611813,0.134990121169449,0.154825528611813,0.237526800164942,0.13361581920904,0.0403954802259887,0.105263309605624,0.24964700233011,-0.0767926654891087,-0.0676340545544789,0.109690256637554,0.0435028248587571,0.401074117219801,0.121006546212151,0.0812281068149479,0.222033898305085,0.149675238953573,0.154825528611813,0.312538699885921,0.106182521201934,0.250141843256376,-0.0410500792438529,0.362086135475509,0.128531073446328,0.049759701246118,0.0269046470100423,0.179548352753775,-0.100538417774368,0.0903699555946099,0.0485738511321028,0.154825528611813,0.0457497900197713,0.219209039548023,0.233832260101053,-0.0907120632241784,0.0538180127863847,0.0969991680169014,-0.176104641991532,0.239985078656371,0.120869815607791,0.103410760130339,0.20220277564294,-0.210524345125834,0.154825528611813,0.148609384014461
ARID1A,0.856133545495968,0.116846791625894,-0.279378531073446,1,0.593592880712116,0.602089829149088,-0.0740677127966308,0.420845320599188,0.668172859177647,0.600960204704156,0.666291625376025,0.465215520849247,0.569330720246042,0.751064461796127,0.382768361581921,-0.298640764192676,0.375689691324709,0.258042547686355,-0.00359973161401592,0.286295417649631,0.593617645812094,0.577175480068065,0.167415519164053,0.487936669608673,0.624117505825275,0.427118644067797,0.541289939094531,0.722959644756879,0.465277310316723,0.888700564971751,0.672321417973117,0.875141242937853,0.779378531073446,-0.18923120163666,0.336723163841808,0.275940161455745,0.478507093494225,0.913866175950493,0.61133389777273,0.645580370278994,0.919423570752135,0.544721108684979,0.63852947431869,0.778876054781044,-0.18923120163666,0.358835970351554,0.809440924554551,0.62016382026801,0.593052833589627,0.55125672912712,0.0652901667721778,0.560208887148562,-0.18923120163666,-0.15506530554807,0.458399176221419,0.563841807909604,-0.167024145699022,0.593035061463458,0.062988080255718,0.80067882914208,0.446900347177334,-0.18923120163666,0.706580090305356,0.216671563145265,-0.18923120163666,0.560347934853152,0.713357836974952,0.39959237977233,0.528770950819419,0.420260951139864,0.444658171654053,0.705317193365601,-0.18923120163666,0.468932490057146,0.66308954917545,0.791846242527139,0.625247130270207,0.482902199254594,-0.133451453096204,0.83728813559322,0.547453153681119,-0.195870500316533,0.49929400466022,-0.0460554431526054,0.607173139151285,0.639505257121729,0.749229880342072,0.198340158359317,-0.129132528466858,-0.18923120163666,0.664219173620383,-0.18923120163666,0.12673691457564,0.727683615819209,0.78954802259887,-0.202603574402223,0.613386073598415,0.741290084573831,0.765003675885114,0.492170418525568,0.515819209039548,0.0180893188879967,0.718688412316091,0.576549149770434,0.431920903954802,0.564812222466312,-0.18923120163666,0.0543830442149507,0.548131393231603,-0.169779531621974,0.614315871201714,0.178872287549053,0.737853107344633,0.76731721126116,0.631551187709413,0.486371487206428,0.817334855484021,0.750070631435262,0.476136703539101,-0.18923120163666,0.367692756825569,0.29774011299435,0.489127384655826,0.603981585517947,0.46037800068353,0.466629133714443,0.815970382989704,0.363996506861576,0.695848658078496,0.75398944336791,0.643885933611595,0.797535918034366,-0.18923120163666,0.390777075047622
ARID2,0.506535366424469,0.40518267268806,-0.0695302406255238,0.593592880712116,1,0.421084920621474,0.253335303726692,0.64465210300839,0.539425293947563,0.478531703789478,0.493278771746091,0.726218318991422,0.449808312205476,0.540954713784521,0.184456258188373,0.0446470177461737,0.647647800950474,0.192466157364195,-0.0197708577053832,0.333864065133081,0.541723165274283,0.626217011590813,0.445016098501876,0.77243746419374,0.448659376542116,0.569458417023918,0.728305100254938,0.569297621194926,0.887014473368016,0.485562424203038,0.626303156107629,0.721160760206879,0.651055889493541,0.122478463777215,0.0155150123709846,0.0258802957069268,0.372781757476461,0.486574253432999,0.891474602676638,0.50495722404676,0.583169329929418,0.806615897547408,0.764697348255914,0.62214866170949,0.122478463777215,0.422883015551665,0.786303207754436,0.49576573873988,0.514148709353641,0.440616826898595,-0.147248793972393,0.924306294564706,0.122478463777215,0.104760386689773,0.774748421453856,0.634966247034742,0.0776835749653087,0.742588526164267,0.0128129755153623,0.652758569496932,0.673456933348354,0.122478463777215,0.480829575116198,0.335781235424699,0.122478463777215,0.798248481399657,0.565850814204845,0.748613425862736,0.873576977449808,0.905693778091345,0.482449068754127,0.595990587570391,0.122478463777215,0.758360531698726,0.62789334002629,0.545563486638915,0.541723165274283,0.777956380421817,0.198050432878589,0.563712116145775,0.770472425772219,0.145323973136152,0.670403959570614,0.192494519135143,0.439467891235235,0.649277302961648,0.55289652448273,0.444065637846005,-0.160367102341831,0.122478463777215,0.49461680307652,0.122478463777215,-0.139147502410388,0.463726480866097,0.478092233061453,0.0805849128382873,0.511850838026921,0.800076550115083,0.894851657454333,0.650701045584819,0.362591585410789,0.44846491011474,0.62170221464862,0.554052003112787,0.623473645278457,0.457850861848997,0.122478463777215,0.291891306941643,0.842382360488846,0.177286808244232,0.933139044094113,0.559920962458091,0.463726480866097,0.430763144099738,0.728762207601085,0.738561771863042,0.74834949223226,0.610659305075889,0.163723332028813,0.122478463777215,0.0959361278905677,0.206292201525314,0.579638042165166,0.658686384066433,0.790726765420546,0.74314119535849,0.643893212015506,0.496934497199055,0.49576573873988,0.813689338640973,0.571595492521646,0.810588930934729,0.122478463777215,0.633030864639105
ARNT,0.631251992841441,0.197422149899321,0.163230732292764,0.602089829149088,0.421084920621474,1,0.225416802742996,0.721407194922593,0.943534726143422,0.905138339920949,0.851887452913588,0.686552807167827,0.96386222473179,0.900909613125468,0.649534055836259,-0.0920848773010766,0.384264278175877,0.223573727159286,0.272782609988663,0.277578792824895,0.94918125352908,0.854476810940497,0.287849644102943,0.662702337439912,0.96386222473179,0.667043234732714,0.787108504861945,0.933370976849238,0.524735522469027,0.631460064717337,0.916337499149374,0.699237531413294,0.771533495888982,-0.0859898950612637,0.611126824708549,0.644997585767696,0.703421681069152,0.582156973461321,0.48881573927156,0.941276115189159,0.514980543938976,0.271994293287142,0.717647209336114,0.882552230378318,-0.0859898950612637,0.319599958405419,0.763782899620122,0.96386222473179,0.642010163749294,0.91304347826087,0.254465154319507,0.515566024011549,-0.0859898950612637,-0.1957571023292,0.65248070755652,0.890144062606907,0.124183887389681,0.796718935051875,0.206542566119637,0.752402968147944,0.710082121218942,-0.0859898950612637,0.964991530208922,0.320390287077106,-0.0859898950612637,0.592905709013071,0.94918125352908,0.319124466806648,0.393739899693095,0.493035821918904,0.474206165894165,0.925078673817631,-0.0859898950612637,0.586285257393664,0.70412196499153,0.702720823311569,0.94918125352908,0.597465530314309,0.00083908032020055,0.649534055836259,0.602259844421452,-0.000945967116429393,0.821569734613213,0.0280571110526718,0.962732919254659,0.752247329282338,0.734253746623656,0.147604497873421,0.0220339018216195,-0.0859898950612637,0.946922642574817,-0.0859898950612637,0.182080429483519,0.929680918179549,0.888449625939508,0.0418671259316786,0.962732919254659,0.700287332442569,0.647171731105405,0.644750658229253,0.860209014816193,0.371856590232469,0.898248171590596,0.904614244680189,0.764755749219386,0.924336533032185,-0.0859898950612637,0.204370105339913,0.601913585116525,-0.0984443231366498,0.470077227184613,0.596651311444773,0.922903171509953,0.832674359190023,0.75594866971873,0.646986798473795,0.749153625496539,0.918690005646528,0.459062676453981,-0.0859898950612637,0.578769057029927,0.75797800254979,0.814793901750424,0.643414617428512,0.640370477765774,0.616832320305304,0.725731197090581,0.595775533354858,0.925465838509317,0.662323623371769,0.932241671372106,0.647672175795214,-0.0859898950612637,0.610808862518108
BAP1,0.00163959279775067,0.796728770541695,0.189429814143596,-0.0740677127966308,0.253335303726692,0.225416802742996,1,0.283227041428666,0.305361133948361,0.383339620943758,0.334907580722358,0.299850962480977,0.264733686942356,0.118942214613894,-0.235312468088411,0.539750778631316,0.489593751865451,-0.159666500158483,0.644406340646885,0.729805955794171,0.39120299778363,0.362083758299756,0.712181849526647,0.343345827368328,0.203137235030026,0.172387685535521,0.374366882337681,0.144817190134309,0.466621114771959,-0.212371141116003,0.313578837271193,0.143219426956317,0.0550591847337787,0.279416375277346,-0.207782875721522,0.0537938591134683,0.015420896993752,-0.198550265206767,0.202456398159934,0.204447797836671,-0.10857175223511,0.320351467269986,0.420031293585057,0.24114355642274,0.279416375277346,0.604513660037909,0.125871502931575,0.268665375362292,0.594340232813655,0.251628058875903,0.126246772537443,0.238267475797587,0.279416375277346,0.307936150169685,0.373660430168603,0.401473222017136,0.68357638580635,0.320683981942434,0.455027606533749,-0.0341131789500043,0.309512613719029,0.279416375277346,0.197239702400122,0.798244759411428,0.279416375277346,0.398653764528272,0.224106239936351,0.628787224251778,0.142542866514704,0.388995486189659,0.688725108800434,0.249031081239527,0.279416375277346,0.439471122026661,0.190686888366895,-0.0525711445807268,0.26080199852242,0.405950472783333,0.614439742797446,-0.109135169740168,0.471320895784051,0.467661957399573,0.505221961961773,0.586504133006187,0.257525591505807,0.232310788902648,0.198362944410493,0.727822151708549,0.254392868696474,0.279416375277346,0.241798837826063,0.279416375277346,0.254637072490542,0.225480470814522,0.00852106430403717,0.404453450969138,0.243109400632708,0.27451158898921,0.248919646074586,0.580998387478112,0.281850588518153,0.713878704140642,0.198774869650987,0.384863652942617,0.575499573764972,0.2804604406221,0.279416375277346,0.835043769932814,0.38089133263205,0.359149411818374,0.223805622191311,0.574214894163183,0.166488487171188,-0.00459215870480827,0.310169753026288,0.285434191876954,0.131427861451817,0.222795677129705,-0.220174551516415,0.279416375277346,0.0773232055920742,0.214337540570781,0.439038540226184,0.456936478640593,0.411957371093079,0.47345059003739,0.0778489074392272,0.57649930359101,0.277184033605486,0.182269177953759,0.320432606224782,0.149794900486936,0.279416375277346,0.687004555216377
BRCA1,0.375744575970672,0.236345170291636,0.34976041113055,0.420845320599188,0.64465210300839,0.721407194922593,0.283227041428666,1,0.744057342329896,0.644962947422947,0.618858303857156,0.951598390615187,0.71178088227449,0.722032935831914,0.339281759137165,-0.00288581135580802,0.622717769748658,0.29319458063371,-0.0147965659474159,0.133306291272552,0.706118345422664,0.737365133446905,0.483887169163746,0.934514038898577,0.767273743422382,0.941379438540847,0.924866253986239,0.822200350885091,0.737989005919247,0.355990960964454,0.81009187446848,0.522233358805452,0.536393699337053,-0.0517402201118311,0.295384703489201,0.285714698902809,0.402608853666603,0.342017225850272,0.795796680774552,0.812574038236987,0.384070850211613,0.504906299796209,0.754615196580295,0.701022062256021,-0.0517402201118311,0.349940347478183,0.660025454651707,0.754249908663183,0.466593036590437,0.660251796922876,-0.0882243751094213,0.773253960721614,-0.0517402201118311,-0.0987234400084954,0.934514038898577,0.871144149504106,0.0908776092469388,0.925326519023282,-0.140190408688078,0.64172428404361,0.977285633162975,-0.0517402201118311,0.741226073903983,0.201492393869063,-0.0517402201118311,0.850149705153626,0.815971560348083,0.542207868825129,0.637756176919579,0.700495728620151,0.35222796424965,0.826198732101748,-0.0517402201118311,0.848749169904493,0.507363301923582,0.518739352640545,0.835790439329473,0.868695450415871,0.0336583737951625,0.380063539868176,0.828497091550852,0.0502784073204229,0.789923890829684,0.0526660572434963,0.715744658070768,0.537903365428016,0.533031773558238,0.278893115332094,0.0521247797506676,-0.0517402201118311,0.704985838052299,-0.0517402201118311,-0.11654211926575,0.732939225915678,0.653358112128079,0.0204255393121025,0.831260409848012,0.712784205963369,0.698009777262426,0.671048513091722,0.544889903656014,0.574384808063764,0.800454672322949,0.671984500853334,0.8003424468461,0.664215572719154,-0.0517402201118311,0.32910168299767,0.845298416900827,0.00340425655201708,0.705676058577079,0.775930715893714,0.742568257477167,0.662699371066237,0.745315161839864,0.917122131438891,0.641396933560477,0.77350253395939,0.178936164517692,-0.0517402201118311,0.269536754146903,0.424527009137404,0.787092622403772,0.427089425337841,0.833375758315631,0.840695021846227,0.556911745398643,0.613005711569812,0.737828551792888,0.742242321282531,0.85730807936641,0.547557434944772,-0.0517402201118311,0.680314782750266
BRD2,0.667420414991712,0.251388758349309,0.166619605627562,0.668172859177647,0.539425293947563,0.943534726143422,0.305361133948361,0.744057342329896,1,0.941276115189159,0.904564004190824,0.729710800008815,0.975155279503106,0.912800940514302,0.562552973576447,-0.0553948090014289,0.486117460342977,0.292365643208297,0.347635885552835,0.354684013054032,0.971767363071711,0.911668433143937,0.410705059214921,0.731982273316236,0.969508752117448,0.683422789184237,0.860617201436696,0.939017504234896,0.658378196879551,0.641061872499264,0.976258396687828,0.801468543679696,0.82236659591095,-0.0171979790122527,0.513979122444344,0.546636867166838,0.69324355385111,0.616036137775268,0.613993350371229,0.966120835686053,0.580554356339548,0.413778552553844,0.837727089667019,0.94918125352908,-0.0171979790122527,0.445898272209416,0.835334308803866,0.989836250705816,0.730095990965556,0.945793337097685,0.294195773209541,0.606816647730407,-0.0171979790122527,-0.0961812352484509,0.729710800008815,0.946625284853539,0.172850545961313,0.849380527773854,0.240966327139576,0.81006269974155,0.748587371811357,-0.0171979790122527,0.972896668548843,0.415722990199861,-0.0171979790122527,0.711142471894671,0.960474308300395,0.45802396494911,0.49820150573412,0.579704517040854,0.600889401548202,0.96239847361712,-0.0171979790122527,0.687231259882651,0.789949181253529,0.737262298107705,0.976284584980237,0.699611022125447,0.109080441626072,0.698672719190828,0.727802962807096,0.0331088490750287,0.896103896103896,0.0697830710797221,0.953698475437606,0.805857070717167,0.823976942266764,0.229958938747003,0.0220339018216195,-0.0171979790122527,0.96386222473179,-0.0171979790122527,0.254241337020767,0.961875214860129,0.86529232481839,-0.00113154394409942,0.971767363071711,0.785840234706993,0.746605491371819,0.792302678856963,0.874329320377851,0.474710540722301,0.958169069129049,0.938686344291495,0.849477582589333,0.93450028232637,-0.0171979790122527,0.305245093232049,0.706344731437981,0.0271570546583861,0.577408657567425,0.645841768741384,0.935893852626679,0.849633103776378,0.832392917218377,0.721398800756558,0.830127902477647,0.960474308300395,0.385657820440429,-0.0171979790122527,0.556182947487295,0.738774386985936,0.880293619424054,0.751320012679681,0.732770966794991,0.718968276597718,0.798191098204149,0.677852509529949,0.97063805759458,0.781042008693124,0.968379446640316,0.735627656458761,-0.0171979790122527,0.731715938945595
BRD4,0.726759232581999,0.374350651020166,0.0943236411518741,0.600960204704156,0.478531703789478,0.905138339920949,0.383339620943758,0.644962947422947,0.941276115189159,1,0.914193051198491,0.639987604365708,0.939017504234896,0.873163182551522,0.575543654693172,-0.0633083531444902,0.463547721112767,0.257969685183791,0.388661238506275,0.441041859710666,0.952569169960474,0.911668433143937,0.428510191839845,0.636580394404577,0.901750423489554,0.582886213585234,0.768448604962201,0.864483342744212,0.6763129280775,0.599830580259223,0.893725839700901,0.725783705869211,0.755153941437459,0.0515939370367582,0.490821821323225,0.65856458143678,0.756574123207818,0.584415584415584,0.46615915807705,0.89158667419537,0.592425477549996,0.309031814075178,0.826398799069764,0.907396950875212,0.0515939370367582,0.429295676967576,0.762647162966412,0.926595143986448,0.779785431959345,0.952569169960474,0.419063432578221,0.558339753879764,0.0515939370367582,-0.0916550594720532,0.668381020708464,0.89748662149897,0.166976983719909,0.768972504477929,0.297219790269721,0.784059291375806,0.642697932682216,0.0515939370367582,0.896103896103896,0.530363582562667,0.0515939370367582,0.610698619932147,0.879164313946923,0.423012107979316,0.388000251009522,0.56363350072685,0.623144564568506,0.877015295287986,0.0515939370367582,0.601113483747979,0.817052512704687,0.68969698855237,0.900621118012423,0.60659585360469,0.231586168375352,0.698672719190828,0.640443465681602,0.165544245375144,0.900621118012423,0.0431647862348797,0.932241671372106,0.765934922840167,0.819433995651922,0.293308508649759,0.165536749582936,0.0515939370367582,0.926595143986448,0.0515939370367582,0.269344782784377,0.899181058166368,0.809375914794225,0.050919477484474,0.908526256352344,0.773375573449924,0.697740900612324,0.802637061624663,0.925727232622285,0.491099357009143,0.883550592949088,0.927328977754393,0.857949765926328,0.944664031620554,0.0515939370367582,0.327516194454988,0.63634143555217,0.178783943167709,0.468355332579541,0.676513465643977,0.858514578148794,0.798756870017314,0.844850498292394,0.616881179229624,0.738394805478071,0.889328063241107,0.246753246753247,0.0515939370367582,0.730095990965556,0.819542534798618,0.869000564652739,0.828805269907914,0.72224432880432,0.646669790682863,0.7953606333169,0.68818387716038,0.915302089215133,0.677660448269743,0.883681535855449,0.707641821702178,0.0515939370367582,0.751106696485852
