MAGE-TAB Version	1.1							
Investigation Title	G-quadruplex (G4) DNA structural landscape of breast cancers reports on their genomic and transcriptomic architecture							
Experiment Description	"Aberrant gene regulation and chromatin interactions are key processes in cancer development. We developed a quantitative high-throughput chromatin immunoprecipitation sequencing methodology to map differentially enriched G-quadruplex DNA regions (DG4Rs) in breast cancer patient-derived tumour xenograft (PDTX) models. We show that DG4Rs are more prevalent in aggressive triple-negative than estrogen receptor-positive breast cancer, particularly at amplification loci. We uncover two distinct transcription factor programs associated with triple-negative or estrogen receptor-positive tumours in a mutually exclusive way. We demonstrate here that quantitatively assessed G4 DNA content in amplified loci positively correlates with sensitivity to G4-ligands. In summary, quantitatively measured G4 DNA content is informative for cancer stratification and treatment.  11 PDTX models were investigated by qG4-ChIP-seq. In total 16 PDTX specimen were analysed. For each specimen (16 PDTX chromatin samples) 4 technically identical ChIP-seq experiments + 1 matched Input experiment was performed and subjected to Nextera DNA library preparation. All 80 libraries were sequenced by the Nextseq500 technology using single-end sequencing and 75 high output flowcells. In total 14 flowcells were sequenced for this study. The name of each file follows the following nomenclature: \""PDTX.model(ID)_biological.replicate(ID)_technical.replicate.or.input(R1...R4 or input)_flowcell.ID(H...) _sequencing.lane(L001-004).fastq.gz\"""							
Experimental Design	disease state design	normalization testing design						
Experimental Design Term Source REF	EFO	EFO						
Experimental Design Term Accession Number	EFO:0001756	EFO_0001771						
Experimental Factor Name	xenograft							
Experimental Factor Type	xenograft							
Experimental Factor Term Source REF								
Experimental Factor Term Accession Number								
Person Last Name	Haensel-Hertsch							
Person First Name	Robert							
Person Mid Initials								
Person Email	rhaensel.bpc@gmail.com							
Person Phone								
Person Fax								
Person Address	"1University of Cambridge, Robinson Way, Cambridge CB2 0RE, UK 2 Building 66, Robert-Koch-Str. 2, 50931, Cologne, Germany"							
Person Affiliation	1Cancer Research UK Cambridge Institute 2Center for Molecular Medicine Cologne							
Person Roles	data analyst;data coder;experiment performer;submitter							
Date of Experiment	24/09/2017							
Public Release Date	05/05/2021							
Protocol Name	Protocol 1	Protocol 2	Protocol 3	Protocol 4	Protocol 5	Protocol 6	Protocol 7	Protocol 8
Protocol Type	sample collection protocol	nucleic acid extraction protocol	nucleic acid library construction protocol	nucleic acid sequencing protocol	normalization data transformation protocol	conversion protocol	dissection protocol	high throughput sequence alignment protocol
Protocol Term Source REF	EFO	EFO	EFO	EFO	EFO	EFO	EFO	EFO
Protocol Term Accession Number	EFO_0005518	EFO_0002944	EFO_0004184	EFO_0004170	EFO_0003816	EFO_0005520	EFO_0005519	EFO_0004917
