Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[disease]	Characteristics[xenograft]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Array Data File	Comment[MD5]	Factor Value[xenograft]
139M_181_input.all.hg19.merged.nodup.25M.w5.rpm	hg19	breast.hg19	Breast.cancer	139M_181_input.all.hg19.merged.nodup.25M.w5.rpm.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_input.all.hg19.merged.nodup.25M.w5.rpm	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_input.all.hg19.merged.nodup.25M.w5.rpm	sequencing assay	139M_181_input.all.hg19.merged.nodup.25M.w5.rpm.bw	900cf92b2cb2700bb006497600e09904	139M_181_input.all.hg19.merged.nodup.25M.w5.rpm.bw
139M_181_input_HNFYLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_input_HNFYLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_input_HNFYLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_input_HNFYLBGX3_L001	sequencing assay	139M_181_input_HNFYLBGX3_L001.fastq.gz	2abfc7e263ee06dcf21d13e3ff7bc673	139M_181_input_HNFYLBGX3_L001
139M_181_input_HNFYLBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_input_HNFYLBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_input_HNFYLBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_input_HNFYLBGX3_L002	sequencing assay	139M_181_input_HNFYLBGX3_L002.fastq.gz	ebd331614dbba1365650c737adee5f9d	139M_181_input_HNFYLBGX3_L002
139M_181_input_HNFYLBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_input_HNFYLBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_input_HNFYLBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_input_HNFYLBGX3_L003	sequencing assay	139M_181_input_HNFYLBGX3_L003.fastq.gz	e657d426a21c32314a7343b91e13ca2d	139M_181_input_HNFYLBGX3_L003
139M_181_input_HNFYLBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_input_HNFYLBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_input_HNFYLBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_input_HNFYLBGX3_L004	sequencing assay	139M_181_input_HNFYLBGX3_L004.fastq.gz	fba6997271c2af3d2cedeedbf0e950cb	139M_181_input_HNFYLBGX3_L004
139M_181_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6	hg19	breast.hg19	Breast.cancer	139M_181_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6	sequencing assay	139M_181_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	205929f44077dbd4d6fc3ac2414f6c6f	139M_181_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw
139M_181_R1_HKV2HBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HKV2HBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HKV2HBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HKV2HBGX3_L001	sequencing assay	139M_181_R1_HKV2HBGX3_L001.fastq.gz	0f8cce7764139a585ab7c262f3ca1698	139M_181_R1_HKV2HBGX3_L001
139M_181_R1_HKV2HBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HKV2HBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HKV2HBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HKV2HBGX3_L002	sequencing assay	139M_181_R1_HKV2HBGX3_L002.fastq.gz	3d5201aeb4bbf9cdaa5cb8ad024ab6c2	139M_181_R1_HKV2HBGX3_L002
139M_181_R1_HKV2HBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HKV2HBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HKV2HBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HKV2HBGX3_L003	sequencing assay	139M_181_R1_HKV2HBGX3_L003.fastq.gz	02c4bc0d89f98cb9ae4c515e8e3c2457	139M_181_R1_HKV2HBGX3_L003
139M_181_R1_HKV2HBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HKV2HBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HKV2HBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HKV2HBGX3_L004	sequencing assay	139M_181_R1_HKV2HBGX3_L004.fastq.gz	7f739a838f4c17dd982fb0433d1f9cd3	139M_181_R1_HKV2HBGX3_L004
